a1 啊 
lou3 嵝 
lou4 陋 
lu1 噜 
lu2 卢 
lu3 卤 
lu4 圥 
lv2 驴 
lv3 吕 
lv4 律 
luan2 娈 
luan3 卵 
luan4 乱 
lue4 畧 
lun2 仑 
lun3 埨 
lun4 溣 
luo1 頱 
luo2 罗 
luo3 剆 
luo4 洛 
ma1 亇 
ma2 痲 
ma3 马 
ma4 祃 
mai2 霾 
mai3 荬 
mai4 劢 
man1 颟 
man2 蛮 
man3 娨 
man4 曼 
mang1 牤 
mang2 芒 
mang3 莽 
mao1 貓 
mao2 毛 
mao3 卯 
mao4 皃 
mei2 苺 
mei3 毎 
mei4 妹 
men2 门 
men4 焖 
meng1 掹 
meng2 甿 
meng3 勐 
meng4 孟 
mi1 瞇 
mi2 祢 
mi3 米 
mi4 汨 
mian2 芇 
mian3 丏 
mian4 面 
miao1 喵 
miao2 苗 
miao3 劰 
miao4 妙 
mie1 吀 
mie4 灭 
min2 民 
min3 皿 
ming2 名 
ming3 佲 
ming4 命 
miu4 谬 
mo1 摸 
mo2 尛 
mo3 懡 
mo4 末 
mou1 哞 
mou2 劺 
mou3 某 
mu2 毪 
mu3 母 
mu4 木 
na2 拏 
na3 乸 
na4 纳 
nai2 腉 
nai3 乃 
nai4 奈 
nan1 囡 
nan2 男 
nan3 赧 
nan4 婻 
nang1 囔 
nang2 乪 
nang3 擃 
nang4 齉 
nao1 孬 
nao2 挠 
nao3 垴 
nao4 闹 
ne4 讷 
nei3 馁 
nei4 氝 
nen4 嫩 
neng2 能 
ni1 妮 
ni2 坭 
ni3 拟 
ni4 氼 
nian1 拈 
nian2 年 
nian3 涊 
nian4 廿 
niang2 娘 
niang4 酿 
niao3 茑 
niao4 脲 
nie1 捏 
nie2 苶 
nie4 帇 
nin2 您 
nin3 拰 
ning2 咛 
ning3 矃 
ning4 佞 
niu1 妞 
niu2 牛 
niu3 狃 
nong2 农 
nong3 繷 
nong4 挊 
nou2 羺 
nou4 槈 
nu2 奴 
nu3 努 
nu4 怒 
nv3 女 
nv4 衂 
nuan2 奻 
nuan3 煗 
nve4 虐 
nuo2 挪 
nuo4 诺 
nun 黁 
o1 噢 
ou1 讴 
ou3 吘 
ou4 怄 
pa1 妑 
pa2 爬 
pa3 帕 
pai1 拍 
pai2 俳 
pai4 沠 
pan1 萠 
pan2 洀 
pan4 冸 
pang1 乓 
pang2 厐 
pang3 耪 
pang4 炐 
pao1 抛 
pao2 庖 
pao4 奅 
pei1 呸 
pei2 陪 
pei3 俖 
pei4 伂 
pen1 歕 
pen2 瓫 
pen3 呠 
pen4 喯 
peng1 抨 
peng2 芃 
peng3 淎 
peng4 掽 
pi1 丕 
pi2 皮 
pi3 匹 
pi4 屁 
pian1 囨 
pian2 骈 
pian3 谝 
pian4 骗 
piao1 剽 
piao2 瓢 
piao3 殍 
piao4 徱 
pie1 暼 
pie3 苤 
pie4 嫳 
pin1 拼 
pin2 玭 
pin3 品 
pin4 牝 
ping1 乒 
ping2 平 
ping3 屛 
po1 钋 
po2 婆 
po3 叵 
po4 岶 
pou1 剖 
pou2 抔 
pou3 咅 
pu1 攵 
pu2 圤 
pu3 浦 
pu4 舖 
qi1 七 
qi2 亓 
qi3 乞 
qi4 气 
qia1 掐 
qia2 拤 
qia3 峠 
qia4 冾 
qian1 千 
qian2 仱 
qian3 肷 
qian4 刋 
qiang1 羌 
qiang2 蔷 
qiang3 羟 
qiang4 炝 
qiao1 郻 
qiao2 乔 
qiao3 巧 
qiao4 陗 
qie2 癿 
qie4 妾 
qin1 侵 
qin2 芹 
qin3 坅 
qin4 吣 
qing1 青 
qing2 夝 
qing3 苘 
qing4 庆 
qiong2 邛 
qiu1 丘 
qiu2 叴 
qiu3 搝 
qu1 匤 
qu2 佢 
qu3 取 
qu4 去 
quan1 悛 
quan2 全 
quan3 犬 
quan4 劝 
que1 缺 
que2 瘸 
que4 却 
qun1 夋 
qun2 帬 
ran1 呥 
ran3 冉 
rang2 穣 
rang3 壌 
rang4 让 
rao2 荛 
rao3 扰 
rao4 绕 
re3 惹 
re4 热 
ren2 人 
ren3 忍 
ren4 刃 
reng1 扔 
reng2 仍 
ri4 日 
rong2 戎 
rong3 冗 
rou2 禸 
rou3 韖 
rou4 肉 
ru2 如 
ru3 汝 
ru4 入 
ruan2 堧 
ruan3 阮 
rui2 甤 
rui3 桵 
rui4 芮 
run4 闰 
ruo2 捼 
ruo4 叒 
sa1 仨 
sa3 訯 
sa4 飒 
sai1 毢 
sai4 赛 
san1 三 
san3 伞 
san4 俕 
sang1 桒 
sang3 嗓 
sao1 掻 
sao3 嫂 
sao4 瘙 
se1 閪 
se4 涩 
sen1 森 
seng1 僧 
sha1 杀 
sha2 啥 
sha3 傻 
sha4 倽 
shai1 筛 
shai4 晒 
shan1 山 
shan3 闪 
shan4 讪 
shang1 伤 
shang3 垧 
shang4 尚 
shao1 弰 
shao2 勺 
shao3 少 
shao4 邵 
she1 猞 
she2 舌 
she3 捨 
she4 厍 
shen1 申 
shen2 神 
shen3 邥 
shen4 肾 
sheng1 升 
sheng2 绳 
sheng3 眚 
sheng4 圣 
shi1 尸 
shi2 时 
shi3 史 
shi4 士 
shou1 收 
shou3 手 
shou4 寿 
shu1 书 
shu2 秫 
shu3 暑 
shu4 戍 
shua1 唰 
shua3 耍 
shua4 誜 
shuai1 衰 
shuai3 甩 
shuai4 帅 
shuan1 闩 
shuan4 涮 
shuang1 双 
shuang3 漺 
shuang4 灀 
shui2 脽 
shui3 水 
shui4 帨 
shun3 吮 
shun4 顺 
shuo4 妁 
si1 丝 
si3 死 
si4 四 
song1 松 
song3  
song4 讼 
sou1 凁 
sou3 傁 
sou4 嗽 
su1 甦 
su2 俗 
su4 夙 
suan1 狻 
suan3 匴 
suan4 笇 
sui1 芕 
sui2 绥 
sui3 膸 
sui4 岁 
sun1 狲 
sun3 笋 
sun4 潠 
suo1 莏 
suo3 所 
suo4 逤 
ta1 它 
ta3 墖 
ta4  
tai1 囼 
tai2 邰 
tai4 太 
tan1 坍 
tan2 坛 
tan3 忐 
tan4 叹 
tang1 嘡 
tang2 唐 
tang3 伖 
tang4 烫 
tao1 弢 
tao2 迯 
tao3 讨 
tao4 套 
te4 忑 
teng1 膯 
teng2 疼 
teng4 霯 
ti1 剔 
ti2 厗 
ti3 躰 
ti4 戻 
tian1 天 
tian2 田 
tian3 忝 
tian4 掭 
tiao1 旫 
tiao2 芀 
tiao3 宨 
tiao4 眺 
tie1 贴 
tie3 铁 
tie4 飻 
ting1 厅 
ting2 邒 
ting3 圢 
tong1 炵 
tong2 仝 
tong3 统 
tong4 恸 
tou1 偷 
tou2 投 
tou3 妵 
tou4 透 
tu1 凸 
tu2 图 
tu3 土 
tu4 兎 
tuan1 湍 
tuan2 团 
tuan3 畽 
tuan4 彖 
tui1 推 
tui2 颓 
tui3 俀 
tui4 退 
tun1 吞 
tun2 蛌 
tun3 氽 
tuo1 讬 
tuo2 阤 
tuo3 妥 
tuo4 柝 
wa1 屲 
wa2 娃 
wa3 邷 
wa4 嗢 
wai1  
wai4 外 
wan1 弯 
wan2 丸 
wan3 倇 
wan4 脕 
wang1 尣 
wang2 亾 
wang3 网 
wang4 妄 
wei1 危 
wei2 韦 
wei3 伟 
wei4 卫 
wen1 温 
wen2 文 
wen3 刎 
wen4 问 
weng1 翁 
weng3 奣 
weng4 瓮 
wo1 莴 
wo3 我 
wo4 仴 
wu1 邬 
wu2 毋 
wu3 五 
wu4 勿 
xi1 夕 
xi2 习 
xi3 枲 
xi4 卌 
xia1 谺 
xia2 匣 
xia3 閜 
xia4 下 
xian1 仚 
xian2 闲 
xian3 冼 
xian4 苋 
xiang1 乡 
xiang2 佭 
xiang3 享 
xiang4 向 
xiao1 灱 
xiao2 洨 
xiao3 晓 
xiao4 孝 
xie1 些 
xie2 协 
xie3 冩 
xie4 伳 
xin1 心 
xin2 枔 
xin3 伈 
xin4 阠 
xing1 星 
xing2 刑 
